numeraire,window,shock,coef,se,pval,nobs,se_ratio,characterisation
USD,"[0,+1]",1Y,-2.1938046452523308,0.659205190530633,8.850988127395453e-4,13017,1,baseline
USD,"[-5,0]",1Y,-2.765725621804002,1.5926146836058628,0.08255967054596994,10738,2.415961989504169,"break SURVIVES this wider window (still detectable, same sign) -- NOT validation of the anticipation mechanism; the larger coefficient comes with a larger SE (see se_ratio), which is equally consistent with added noise from extra days of unrelated news"
USD,"[-5,+1]",1Y,-3.6928562678969152,1.5482075806800573,0.017128793915421797,10223,2.348597375930572,"break SURVIVES this wider window (still detectable, same sign) -- NOT validation of the anticipation mechanism; the larger coefficient comes with a larger SE (see se_ratio), which is equally consistent with added noise from extra days of unrelated news"
USD,"[0,+1]",1Y (rolled),-1.9168977030587495,0.814600214917235,0.0186761012768314,13017,1,baseline
USD,"[-5,0]",1Y (rolled),-2.739887137879106,2.0341881762380023,0.1781062218993504,10738,2.497161354720094,"break SURVIVES this wider window (still detectable, same sign) -- NOT validation of the anticipation mechanism; the larger coefficient comes with a larger SE (see se_ratio), which is equally consistent with added noise from extra days of unrelated news"
USD,"[-5,+1]",1Y (rolled),-3.3759552722757364,2.032151598741777,0.0967623767779484,10223,2.4946612602456133,"break SURVIVES this wider window (still detectable, same sign) -- NOT validation of the anticipation mechanism; the larger coefficient comes with a larger SE (see se_ratio), which is equally consistent with added noise from extra days of unrelated news"
USD,"[0,+1]",5Y,-1.526559286878483,0.4925905940925123,0.00195891989207946,13017,1,baseline
USD,"[-5,0]",5Y,-1.912138616993969,1.6251290193380374,0.23944402422696473,10738,3.2991474843972064,"break SURVIVES this wider window (still detectable, same sign) -- NOT validation of the anticipation mechanism; the larger coefficient comes with a larger SE (see se_ratio), which is equally consistent with added noise from extra days of unrelated news"
USD,"[-5,+1]",5Y,-2.616309426313767,1.6346441766050699,0.10958359317757756,10223,3.3184640474439733,"break SURVIVES this wider window (still detectable, same sign) -- NOT validation of the anticipation mechanism; the larger coefficient comes with a larger SE (see se_ratio), which is equally consistent with added noise from extra days of unrelated news"
USD,"[0,+1]",5Y (rolled),-1.3205033955658367,0.6261963100297405,0.03504471770319046,13017,1,baseline
USD,"[-5,0]",5Y (rolled),-1.2897742299149944,2.009811370938859,0.5210908747968548,10738,3.20955479735006,"break SURVIVES this wider window (still detectable, same sign) -- NOT validation of the anticipation mechanism; the larger coefficient comes with a larger SE (see se_ratio), which is equally consistent with added noise from extra days of unrelated news"
USD,"[-5,+1]",5Y (rolled),-1.7455586126132772,2.0506774668831214,0.3947195593291176,10223,3.274815635348804,"break SURVIVES this wider window (still detectable, same sign) -- NOT validation of the anticipation mechanism; the larger coefficient comes with a larger SE (see se_ratio), which is equally consistent with added noise from extra days of unrelated news"
